path	mode	status
_content/tour/flowcontrol/for-is-gos-while.go	interpreted	PASS
_content/tour/flowcontrol/for-is-gos-while.go	compiled	PASS
_content/tour/flowcontrol/for.go	baseline	PASS
_content/tour/flowcontrol/for.go	interpreted	PASS
_content/tour/flowcontrol/for.go	compiled	PASS
_content/tour/flowcontrol/forever.go	baseline	PASS
_content/tour/flowcontrol/forever.go	interpreted	PASS
_content/tour/flowcontrol/forever.go	compiled	PASS
_content/tour/flowcontrol/if-and-else.go	baseline	PASS
_content/tour/flowcontrol/if-and-else.go	interpreted	PASS
_content/tour/flowcontrol/if-and-else.go	compiled	PASS
_content/tour/flowcontrol/if-with-a-short-statement.go	baseline	PASS
_content/tour/flowcontrol/if-with-a-short-statement.go	interpreted	PASS
_content/tour/flowcontrol/if-with-a-short-statement.go	compiled	PASS
_content/tour/flowcontrol/if.go	baseline	PASS
_content/tour/flowcontrol/if.go	interpreted	PASS
_content/tour/flowcontrol/if.go	compiled	PASS
_content/tour/flowcontrol/switch-evaluation-order.go	baseline	PASS
_content/tour/flowcontrol/switch-evaluation-order.go	interpreted	PASS
_content/tour/flowcontrol/switch-evaluation-order.go	compiled	PASS
_content/tour/flowcontrol/switch-with-no-condition.go	baseline	PASS
_content/tour/flowcontrol/switch-with-no-condition.go	interpreted	PASS
_content/tour/flowcontrol/switch-with-no-condition.go	compiled	PASS
_content/tour/flowcontrol/switch.go	baseline	PASS
_content/tour/flowcontrol/switch.go	interpreted	PASS
_content/tour/flowcontrol/switch.go	compiled	PASS
_content/tour/generics/index.go	baseline	PASS
_content/tour/generics/index.go	interpreted	PASS
_content/tour/generics/index.go	compiled	PASS
_content/tour/generics/list.go	baseline	PASS
_content/tour/generics/list.go	interpreted	PASS
_content/tour/generics/list.go	compiled	PASS
_content/tour/methods/empty-interface.go	baseline	PASS
_content/tour/methods/empty-interface.go	interpreted	PASS
_content/tour/methods/empty-interface.go	compiled	PASS
_content/tour/methods/errors.go	baseline	PASS
_content/tour/methods/errors.go	interpreted	PASS
_content/tour/methods/errors.go	compiled	PASS
_content/tour/methods/exercise-errors.go	baseline	PASS
_content/tour/methods/exercise-errors.go	interpreted	PASS
_content/tour/methods/exercise-errors.go	compiled	PASS
_content/tour/methods/exercise-stringer.go	baseline	PASS
_content/tour/methods/exercise-stringer.go	interpreted	PASS
_content/tour/methods/exercise-stringer.go	compiled	PASS
_content/tour/methods/images.go	baseline	PASS
_content/tour/methods/images.go	interpreted	PASS
_content/tour/methods/images.go	compiled	PASS
_content/tour/methods/indirection-values.go	baseline	PASS
_content/tour/methods/indirection-values.go	interpreted	PASS
_content/tour/methods/indirection-values.go	compiled	PASS
_content/tour/methods/indirection.go	baseline	PASS
_content/tour/methods/indirection.go	interpreted	PASS
_content/tour/methods/indirection.go	compiled	PASS
_content/tour/methods/interface-values-with-nil.go	baseline	PASS
_content/tour/methods/interface-values-with-nil.go	interpreted	PASS
_content/tour/methods/interface-values-with-nil.go	compiled	PASS
_content/tour/methods/interface-values.go	baseline	PASS
_content/tour/methods/interface-values.go	interpreted	PASS
_content/tour/methods/interface-values.go	compiled	PASS
_content/tour/methods/interfaces-are-satisfied-implicitly.go	baseline	PASS
_content/tour/methods/interfaces-are-satisfied-implicitly.go	interpreted	PASS
_content/tour/methods/interfaces-are-satisfied-implicitly.go	compiled	PASS
_content/tour/methods/methods-continued.go	baseline	PASS
_content/tour/methods/methods-continued.go	interpreted	PASS
_content/tour/methods/methods-continued.go	compiled	PASS
_content/tour/methods/methods-funcs.go	baseline	PASS
_content/tour/methods/methods-funcs.go	interpreted	PASS
_content/tour/methods/methods-funcs.go	compiled	PASS
_content/tour/methods/methods-pointers-explained.go	baseline	PASS
_content/tour/methods/methods-pointers-explained.go	interpreted	PASS
_content/tour/methods/methods-pointers-explained.go	compiled	PASS
_content/tour/methods/methods-pointers.go	baseline	PASS
_content/tour/methods/methods-pointers.go	interpreted	PASS
_content/tour/methods/methods-pointers.go	compiled	PASS
_content/tour/methods/methods-with-pointer-receivers.go	baseline	PASS
_content/tour/methods/methods-with-pointer-receivers.go	interpreted	PASS
_content/tour/methods/methods-with-pointer-receivers.go	compiled	PASS
_content/tour/methods/methods.go	baseline	PASS
_content/tour/methods/methods.go	interpreted	PASS
_content/tour/methods/methods.go	compiled	PASS
_content/tour/methods/nil-interface-values.go	baseline	PASS
_content/tour/methods/nil-interface-values.go	interpreted	PASS
_content/tour/methods/nil-interface-values.go	compiled	PASS
_content/tour/methods/reader.go	baseline	PASS
_content/tour/methods/reader.go	interpreted	PASS
_content/tour/methods/reader.go	compiled	PASS
_content/tour/methods/stringer.go	baseline	PASS
_content/tour/methods/stringer.go	interpreted	PASS
_content/tour/methods/stringer.go	compiled	PASS
_content/tour/methods/type-assertions.go	baseline	PASS
_content/tour/methods/type-assertions.go	interpreted	PASS
_content/tour/methods/type-assertions.go	compiled	PASS
_content/tour/methods/type-switches.go	baseline	PASS
_content/tour/methods/type-switches.go	interpreted	PASS
_content/tour/methods/type-switches.go	compiled	PASS
_content/tour/moretypes/append.go	baseline	PASS
_content/tour/moretypes/append.go	interpreted	PASS
_content/tour/moretypes/append.go	compiled	PASS
_content/tour/moretypes/array.go	baseline	PASS
_content/tour/moretypes/array.go	interpreted	PASS
_content/tour/moretypes/array.go	compiled	PASS
_content/tour/moretypes/exercise-maps.go	baseline	PASS
_content/tour/moretypes/exercise-maps.go	interpreted	PASS
_content/tour/moretypes/exercise-maps.go	compiled	PASS
_content/tour/moretypes/function-closures.go	baseline	PASS
_content/tour/moretypes/function-closures.go	interpreted	PASS
_content/tour/moretypes/function-closures.go	compiled	PASS
_content/tour/moretypes/function-values.go	baseline	PASS
_content/tour/moretypes/function-values.go	interpreted	PASS
_content/tour/moretypes/function-values.go	compiled	PASS
_content/tour/moretypes/making-slices.go	baseline	PASS
_content/tour/moretypes/making-slices.go	interpreted	PASS
_content/tour/moretypes/making-slices.go	compiled	PASS
_content/tour/moretypes/map-literals-continued.go	baseline	PASS
_content/tour/moretypes/map-literals-continued.go	interpreted	PASS
_content/tour/moretypes/map-literals-continued.go	compiled	PASS
_content/tour/moretypes/map-literals.go	baseline	PASS
_content/tour/moretypes/map-literals.go	interpreted	PASS
_content/tour/moretypes/map-literals.go	compiled	PASS
_content/tour/moretypes/maps.go	baseline	PASS
_content/tour/moretypes/maps.go	interpreted	PASS
_content/tour/moretypes/maps.go	compiled	PASS
_content/tour/moretypes/mutating-maps.go	baseline	PASS
_content/tour/moretypes/mutating-maps.go	interpreted	PASS
_content/tour/moretypes/mutating-maps.go	compiled	PASS
_content/tour/moretypes/nil-slices.go	baseline	PASS
_content/tour/moretypes/nil-slices.go	interpreted	PASS
_content/tour/moretypes/nil-slices.go	compiled	PASS
_content/tour/moretypes/pointers.go	baseline	PASS
_content/tour/moretypes/pointers.go	interpreted	PASS
_content/tour/moretypes/pointers.go	compiled	PASS
_content/tour/moretypes/range-continued.go	baseline	PASS
_content/tour/moretypes/range-continued.go	interpreted	PASS
_content/tour/moretypes/range-continued.go	compiled	PASS
_content/tour/moretypes/range.go	baseline	PASS
_content/tour/moretypes/range.go	interpreted	PASS
_content/tour/moretypes/range.go	compiled	PASS
_content/tour/moretypes/slice-bounds.go	baseline	PASS
_content/tour/moretypes/slice-bounds.go	interpreted	PASS
_content/tour/moretypes/slice-bounds.go	compiled	PASS
_content/tour/moretypes/slice-len-cap.go	baseline	PASS
_content/tour/moretypes/slice-len-cap.go	interpreted	PASS
_content/tour/moretypes/slice-len-cap.go	compiled	PASS
_content/tour/moretypes/slice-literals.go	baseline	PASS
_content/tour/moretypes/slice-literals.go	interpreted	PASS
_content/tour/moretypes/slice-literals.go	compiled	PASS
_content/tour/moretypes/slices-of-slice.go	baseline	PASS
_content/tour/moretypes/slices-of-slice.go	interpreted	PASS
_content/tour/moretypes/slices-of-slice.go	compiled	PASS
_content/tour/moretypes/slices-pointers.go	baseline	PASS
_content/tour/moretypes/slices-pointers.go	interpreted	PASS
_content/tour/moretypes/slices-pointers.go	compiled	PASS
_content/tour/moretypes/slices.go	baseline	PASS
_content/tour/moretypes/slices.go	interpreted	PASS
_content/tour/moretypes/slices.go	compiled	PASS
_content/tour/moretypes/struct-fields.go	baseline	PASS
_content/tour/moretypes/struct-fields.go	interpreted	PASS
_content/tour/moretypes/struct-fields.go	compiled	PASS
_content/tour/moretypes/struct-literals.go	baseline	PASS
_content/tour/moretypes/struct-literals.go	interpreted	PASS
_content/tour/moretypes/struct-literals.go	compiled	PASS
_content/tour/moretypes/struct-pointers.go	baseline	PASS
_content/tour/moretypes/struct-pointers.go	interpreted	PASS
_content/tour/moretypes/struct-pointers.go	compiled	PASS
_content/tour/moretypes/structs.go	baseline	PASS
_content/tour/moretypes/structs.go	interpreted	PASS
_content/tour/moretypes/structs.go	compiled	PASS
_content/tour/solutions/binarytrees.go	baseline	PASS
_content/tour/solutions/binarytrees.go	interpreted	PASS
_content/tour/solutions/binarytrees.go	compiled	PASS
_content/tour/solutions/binarytrees_quit.go	baseline	PASS
_content/tour/solutions/binarytrees_quit.go	interpreted	FAIL:run:exit:127
_content/tour/solutions/binarytrees_quit.go	compiled	PASS
_content/tour/solutions/errors.go	baseline	PASS
_content/tour/solutions/errors.go	interpreted	PASS
_content/tour/solutions/errors.go	compiled	PASS
_content/tour/solutions/fib.go	baseline	PASS
_content/tour/solutions/fib.go	interpreted	PASS
_content/tour/solutions/fib.go	compiled	PASS
_content/tour/solutions/http.go	baseline	PASS
_content/tour/solutions/http.go	interpreted	PASS
_content/tour/solutions/http.go	compiled	PASS
_content/tour/solutions/image.go	baseline	PASS
_content/tour/solutions/image.go	interpreted	PASS
_content/tour/solutions/image.go	compiled	PASS
_content/tour/solutions/loops.go	baseline	PASS
_content/tour/solutions/loops.go	interpreted	PASS
_content/tour/solutions/loops.go	compiled	PASS
_content/tour/solutions/maps.go	baseline	PASS
_content/tour/solutions/maps.go	interpreted	PASS
_content/tour/solutions/maps.go	compiled	PASS
_content/tour/solutions/readers.go	baseline	PASS
_content/tour/solutions/readers.go	interpreted	PASS
_content/tour/solutions/readers.go	compiled	PASS
_content/tour/solutions/rot13.go	baseline	PASS
_content/tour/solutions/rot13.go	interpreted	PASS
_content/tour/solutions/rot13.go	compiled	PASS
_content/tour/solutions/slices.go	baseline	PASS
_content/tour/solutions/slices.go	interpreted	PASS
_content/tour/solutions/slices.go	compiled	PASS
_content/tour/solutions/stringers.go	baseline	PASS
_content/tour/solutions/stringers.go	interpreted	PASS
_content/tour/solutions/stringers.go	compiled	PASS
_content/tour/solutions/webcrawler.go	baseline	PASS
_content/tour/solutions/webcrawler.go	interpreted	FAIL:run:exit:2
_content/tour/solutions/webcrawler.go	compiled	PASS
_content/tour/welcome/hello.go	baseline	PASS
_content/tour/welcome/hello.go	interpreted	PASS
_content/tour/welcome/hello.go	compiled	PASS
_content/tour/welcome/sandbox.go	baseline	PASS
_content/tour/welcome/sandbox.go	interpreted	PASS
_content/tour/welcome/sandbox.go	compiled	PASS
