# path	kind	reason
_content/tour/methods.article#inline-04-L116	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-05-L170	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-06-L205	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-07-L222	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-08-L233	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-09-L252	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-10-L277	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-11-L301	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-12-L311	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-13-L330	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-14-L334	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-15-L353	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-16-L389	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods.article#inline-17-L391	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/methods/exercise-images.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/methods/exercise-reader.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/methods/exercise-rot-reader.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/methods/interfaces.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/moretypes.article#inline-01-L14	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-02-L18	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-03-L23	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-04-L72	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-05-L95	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-06-L103	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-07-L127	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-08-L132	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-09-L145	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-10-L149	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-11-L195	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-12-L199	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-13-L201	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-14-L220	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-15-L299	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-16-L303	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-17-L307	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-18-L311	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes.article#inline-19-L319	article_inline_block	inline tab-indented snippet inside lesson prose (rendered as static preformatted text, never executed by the tour)
_content/tour/moretypes/exercise-fibonacci-closure.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
_content/tour/moretypes/exercise-slices.go	lesson_play_program	Upstream marks the file nobuild (oracle refuses to build it: exercise skeleton, not a complete standalone program)
