# Public Go-profile source cases: interpreted observations only.
# stdout/stderr contain JSON strings; expected_status is the exact process exit code.
id	category	fixture	expected_status	stdout	stderr	public_test_ref
for-forms-per-iteration	control-flow	control-flow/for-forms-per-iteration.bpp	0	"body:0\nbody:1\nbody:2\nafter:9:unset:unset\ninfinite\ncapture:2\ncapture:1\ncapture:0\n"	""	sh/interp/bashpp_for_test.go:TestBashPPForFormsScopeAndPerIterationVariables
if-branches-scopes	control-flow	control-flow/if-branches-scopes.bpp	0	"equal:2\nyes\nafter:9:unset\nfallback\n"	""	sh/interp/bashpp_if_test.go:TestBashPPIfBooleanBranchesAndScopes
if-cond-nonboolean-neg	control-flow	control-flow/if-cond-nonboolean-neg.bpp	2	""	"BASHPP-EIF-COND: if condition must be boolean, got Int\n"	sh/interp/bashpp_if_test.go:TestBashPPIfRejectsNonBooleanCondition
range-control-flow	control-flow	control-flow/range-control-flow.bpp	0	"after:<unset>\nloop:1\nloop:2\ncaller\n"	""	sh/interp/bashpp_range_test.go:TestBashPPRangeControlFlowAndIterationLifetime
range-scalar-arity-neg	control-flow	control-flow/range-scalar-arity-neg.bpp	2	""	"control-flow/range-scalar-arity-neg.bpp: line 2: BASHPP-ERANGE-ARITY: integer range permits at most one iteration variable\n"	sh/interp/bashpp_range_test.go:TestBashPPRangeScalarDiagnostics/integer_arity
range-strings-integers-generic	control-flow	control-flow/range-strings-integers-generic.bpp	0	"string:0:97\nstring:1:233\ninteger:0\ninteger:1\ninteger:2\ngeneric:0:7\ngeneric:1:8\n"	""	sh/interp/bashpp_range_test.go:TestBashPPRangeStringsIntegersAndGenericCollections
switch-case-type-neg	control-flow	control-flow/switch-case-type-neg.bpp	2	""	"BASHPP-ESWITCH-TYPE: case expression type String does not match switch tag type Int\n"	sh/interp/bashpp_switch_test.go:TestBashPPSwitchTypeDiagnostics
switch-first-match-scopes	control-flow	control-flow/switch-first-match-scopes.bpp	0	"first:3\nafter:unset:unset\ntagless:yes\nscope:unset\nassigned:3\n"	""	sh/interp/bashpp_switch_test.go:TestBashPPSwitchFirstMatchTaglessAndClauseScopes
assign-kind-mismatch-neg	conversions	conversions/assign-kind-mismatch-neg.bpp	2	""	"conversions/assign-kind-mismatch-neg.bpp: line 1: BASHPP-EASSIGN-TYPE: cannot use Int constant as string in declaration\n"	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/constant_kind_is_not_assignable
const-overflow-int8-neg	conversions	conversions/const-overflow-int8-neg.bpp	2	""	"conversions/const-overflow-int8-neg.bpp: line 1: BASHPP-EEXPR-CONVERT: constant 128 overflows int8\n"	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/constant_overflow
compound-incdec-runtime	expressions	expressions/compound-incdec-runtime.bpp	0	"17:ab:5:5"	""	sh/interp/bashpp_update_test.go:TestBashPPCompoundAndIncDecRuntime
map-index-compound-incdec	expressions	expressions/map-index-compound-incdec.bpp	0	"255:2"	""	sh/interp/bashpp_update_test.go:TestBashPPMapIndexCompoundAndIncDec
short-decl-evaluates	expressions	expressions/short-decl-evaluates.bpp	0	"42:1:2"	""	sh/interp/bashpp_test.go:TestBashPPParsedShortDeclarationEvaluates
short-decl-no-new-neg	expressions	expressions/short-decl-no-new-neg.bpp	2	""	"expressions/short-decl-no-new-neg.bpp: line 2: BASHPP-ESHORT-NONEW: no new variables on left side of :=\n"	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/no_new_short_declaration_name
tuple-redeclare-new-name	expressions	expressions/tuple-redeclare-new-name.bpp	0	"2:3"	""	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/ordinary_tuple_may_redeclare_when_another_name_is_new
typed-zero-values-const	expressions	expressions/typed-zero-values-const.bpp	0	"<0>:<false>:<>:7"	""	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/typed_scalar_zero_values_and_typed_const
cannot-infer-neg	generics	generics/cannot-infer-neg.bpp	2	""	"BASHPP-EGENERIC-INFER: cannot infer type arguments for zero\n"	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncDiagnostics/cannot_infer
comparable-constraint	generics	generics/comparable-constraint.bpp	0	"1\n"	""	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/comparable_constraint
constraint-violation-neg	generics	generics/constraint-violation-neg.bpp	2	""	"BASHPP-EGENERIC-CONSTRAINT: []int does not satisfy constraint for T in bad\n"	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncDiagnostics/constraint
explicit-substitution	generics	generics/explicit-substitution.bpp	0	"x=7\n"	""	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/explicit_scalar_substitution
inference-composite	generics	generics/inference-composite.bpp	0	"ok\n"	""	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/composite_inference
inference-scalar	generics	generics/inference-scalar.bpp	0	"x=hello\n"	""	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/ordinary_scalar_inference
assignment-assert-type-switch	interfaces	interfaces/assignment-assert-type-switch.bpp	0	"assert:7:true\nlabel:3:7\niface:7\nmethod:7\nnil-interface\ntyped-nil-pointer:\ntype:7\nsubshell:7:true\n"	""	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceAssignmentAssertionsAndTypeSwitch
embedded-promotion-assertions	interfaces	interfaces/embedded-promotion-assertions.bpp	0	"read:file\nclosed\nread:after\nassert-interface:true\nclosed\ncloser\nnil-interface-assert::false\n"	""	sh/interp/bashpp_interface_test.go:TestBashPPEmbeddedInterfacePromotionAndAssertions
method-sets-pointer-identity	interfaces	interfaces/method-sets-pointer-identity.bpp	0	"copy:4\nmutated:12\n"	""	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceMethodSetsAndPointerIdentity
missing-method-neg	interfaces	interfaces/missing-method-neg.bpp	2	""	"BASHPP-EINTERFACE-MISSING: T does not implement interface (missing method M)\n"	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/missing
value-copy-assertion-zero	interfaces	interfaces/value-copy-assertion-zero.bpp	0	"copy:1\nzero:0:false\npointer:12\n"	""	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceValueCopyAndAssertionZero
dispatch	methods	methods/dispatch.bpp	0	"direct:7\nptr:7\nrelay:7\nresult:11\nderef:9\nptr:9\nvalue:7\nptr:7\nexpression:7\ndeferred:7\nnil\n"	""	sh/interp/bashpp_method_test.go:TestBashPPMethodDispatch
undefined-receiver-neg	methods	methods/undefined-receiver-neg.bpp	2	""	"invalid receiver type Missing (type is not declared in this session)\n"	sh/interp/bashpp_method_test.go:TestBashPPMethodDeclarationDiagnostics/undefined_receiver
address-deref-new	pointers	pointers/address-deref-new.bpp	0	"1:3:5:7:9:10:0:0:null:null\n"	""	sh/interp/bashpp_pointer_test.go:TestBashPPPointersAddressDereferenceAndNew
nil-deref-neg	pointers	pointers/nil-deref-neg.bpp	2	""	"BASHPP-ENIL-DEREF: dereference of nil pointer\n"	sh/interp/bashpp_pointer_test.go:TestBashPPPointerDiagnostics/nil
readonly-bypass-neg	pointers	pointers/readonly-bypass-neg.bpp	2	""	"BASHPP-EREADONLY-MUTATION: cannot mutate readonly value through pointer\n"	sh/interp/bashpp_pointer_test.go:TestBashPPPointerCannotBypassScalarReadonly
subshell-snapshot	pointers	pointers/subshell-snapshot.bpp	0	"sub:2\nparent:1\n"	""	sh/interp/bashpp_pointer_test.go:TestBashPPPointerSubshellSnapshot
