# Public compiler-phase contract; interpreter expectations remain in the original manifests.
# Sprint: #117; Story: #9; Story-ID: e400885f8746
id	phase	source_sha256	reason	public_test_ref
range-strings-integers-generic	artifact-run	265a7eeb95dcdc45774a480340fe4e2aeb78fab65dc36a0a5aa29690631387c0	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_range_test.go:TestBashPPRangeStringsIntegersAndGenericCollections
switch-case-type-neg	semantic-reject	e1dba6e2babd058d28ba40f868a30a61a17e506331283ae35d9c6d379cb6feda	string case is incompatible with int switch tag	sh/interp/bashpp_switch_test.go:TestBashPPSwitchTypeDiagnostics
switch-first-match-scopes	artifact-run	d4da075ce28018e166e58200eec8baae2d22bfd078e60bd6cc23e03faa3c256a	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_switch_test.go:TestBashPPSwitchFirstMatchTaglessAndClauseScopes
assign-kind-mismatch-neg	semantic-reject	0a48c9cb6371227d9c723a73bd72bb71d51438490744c3fd8fd9795126781785	int constant is not assignable to string declaration	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/constant_kind_is_not_assignable
const-overflow-int8-neg	semantic-reject	52d57e46616b63e68dcafd7253fa1764b400793e6d297c35b505b1b35e0d8869	128 is not representable as int8	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/constant_overflow
compound-incdec-runtime	artifact-run	5b559eb057c6d767e74864b65a7701c5d62409a2cd135559cf4310dd1ade47b1	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundAndIncDecRuntime
map-index-compound-incdec	artifact-run	31e5480213d864493fa249aead8e7c66378610b392befdcd602a64f1e6628b99	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPMapIndexCompoundAndIncDec
short-decl-evaluates	artifact-run	6d5967c062a3eb73088df21a61299cc531debaa868026589f60269ee27c9902b	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPParsedShortDeclarationEvaluates
short-decl-no-new-neg	semantic-reject	f554926921c1c634aad58317683b963ed62a603fe53b33f026ea778327c89854	second short declaration introduces no new name	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/no_new_short_declaration_name
tuple-redeclare-new-name	artifact-run	94769662f61950748ba08a181c3eaa4a7d5ef700bb662b0c9ce58e66f0dad2ae	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/ordinary_tuple_may_redeclare_when_another_name_is_new
typed-zero-values-const	artifact-run	82f195a9e13f76ee993d78992a503ad1ac0b0ebda4f5768976f1a53ccf2ad032	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPStory204DeclarationSemantics/typed_scalar_zero_values_and_typed_const
cannot-infer-neg	semantic-reject	13fb5696825ac5de9218a33ac0ebb33cb305b3fb151a3364a691164fe905b947	zero() supplies no information from which T can be inferred	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncDiagnostics/cannot_infer
comparable-constraint	artifact-run	8a6db93c3c28a5f52c83bff4af03551e971122644b87f93411579496cb881bcb	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/comparable_constraint
constraint-violation-neg	semantic-reject	4ab83825e10af6f46fe1b05e7a3da5c0a35d640df095c2cce350ea6b1d2fd230	[]int does not satisfy comparable	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncDiagnostics/constraint
explicit-substitution	artifact-run	a0013d0d767ebdb2f44218467df07fd82541a36d03cce807379a45e6c3e3b984	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/explicit_scalar_substitution
inference-composite	artifact-run	1373d235f008a0005cd1c2041391b876767c4229bccb7104d44867208a74841c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/composite_inference
inference-scalar	artifact-run	ab1f857620141094a66adbb9b0cc395a497f1b6c9c028a28ccb206b8338adee7	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPGenericFuncRuntime/ordinary_scalar_inference
assignment-assert-type-switch	artifact-run	977a21bc0333f06868d5933d4117ce0e6eb0b238eac1c39ed069a61749119940	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceAssignmentAssertionsAndTypeSwitch
embedded-promotion-assertions	artifact-run	fd3ade8c2fb7cd003f5aa12fc62f3d61f5bcd811f3271349ef73c3bcb3c13d04	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_interface_test.go:TestBashPPEmbeddedInterfacePromotionAndAssertions
method-sets-pointer-identity	artifact-run	481c7e1b388240ad9322f6b42992985eb4df9dc36d81463b12330304e0a5e659	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceMethodSetsAndPointerIdentity
missing-method-neg	semantic-reject	e6a6b0ef1ec191510838e5255f68e6ee3c9cfc6bc6beca370d9ebbcb43a9817e	T lacks interface method M	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceDiagnostics/missing
value-copy-assertion-zero	artifact-run	c3a3205ff87a70d966ad0eb5fc9a8a76c8951efb52e9b4e81faa1efabe70fe3f	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_interface_test.go:TestBashPPInterfaceValueCopyAndAssertionZero
dispatch	artifact-run	b7bd2833bd5ebec14230f1fb3196f84a4e971d41c337b2f76d55cb0e805287dd	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_method_test.go:TestBashPPMethodDispatch
undefined-receiver-neg	semantic-reject	52d9788845933f22a693c150c8ebc546a004617b54b1533f882aeedc841bf1cf	Missing is not a declared receiver type; exact legacy unprefixed text is required	sh/interp/bashpp_method_test.go:TestBashPPMethodDeclarationDiagnostics/undefined_receiver
address-deref-new	artifact-run	916850a7f755587037d6a22ea85c69ebc16935b670c137da5bdc84de32857dd5	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_pointer_test.go:TestBashPPPointersAddressDereferenceAndNew
nil-deref-neg	artifact-run	f4eb1b1293ab878bbb8e211b438e6c1b8307927b340a64a21ebce0aec485c52c	Typed nil pointer dereference is a runtime operation; retain ENIL-DEREF, not checker ENULL-DEREF.	sh/interp/bashpp_pointer_test.go:TestBashPPPointerDiagnostics/nil
readonly-bypass-neg	artifact-run	269f975d76a634704033957071b23aed614632e91af0954fc9aa6f345d64e98a	Readonly status is applied through a shell command after taking a pointer; runtime alias mutation guard is required.	sh/interp/bashpp_pointer_test.go:TestBashPPPointerCannotBypassScalarReadonly
subshell-snapshot	artifact-run	09b5598e64cd29cc51f8c413e3c7f2def1a18b18d00628c75b9a292674ab1323	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_pointer_test.go:TestBashPPPointerSubshellSnapshot
scalar-operator-00	artifact-run	ffafeada79bd8f92f5646ed1d303e3b5ef1a66de24de660d76dd541a2d2c2a8b	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/true || false
scalar-operator-01	artifact-run	6e8327d68396874e23ba38a8bbbc86a5418495a35ebba41d1c3279cebb569f21	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/true && false
scalar-operator-02	artifact-run	1a91fa0149c54b3b6ccd5eb58eaff837074bc37a1fdd4787e78703b0743d7742	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/1 < 2
scalar-operator-03	artifact-run	e9a05901235143ad3a4749cbdf3632cf022377b883ac8ee9b704a6555b9ea1ef	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/1 <= 2
scalar-operator-04	artifact-run	0a415d20e7cc2986d1ac740262c68d93b426cc7f735efd791a019e0286b364bc	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/1 > 2
scalar-operator-05	artifact-run	9d47d6a3d2a3214ed598d127c564625577b921d7ebf34ec055d6921817876c12	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/1 >= 2
scalar-operator-06	artifact-run	a7017f684a1433c42a28c80ae29e40cf61bee94fefaa3ca0251de45b81587cf6	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/6 | 3
scalar-operator-07	artifact-run	dc4a966e4fa2d5cbfb7fd338e6ba4b2ea5c44cd7c60daeef0f437be5232967d2	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/6 & 3
scalar-operator-08	artifact-run	8d83595bf5bad49254bfd261ed431d649cc15c275932702a5faccfac9e5ec8b3	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/6 &^ 3
scalar-operator-09	artifact-run	72bbdf5256e8a91822453e218ece1eea0bf11308404ebd865e38ed7c478b65c1	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/1 << 2
scalar-operator-10	artifact-run	3621df1155f24e6c58a52e97bbd44f95e26fd6f853da73cb6665de0e4486a30c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPScalarShellOperatorExpressionsEvaluate/8 >> 2
compound-operator-00	artifact-run	21374aee3867688f941adc6c9b8c1bc9fa0e565f859773d7fe6ae6dd7e174556	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/+=
compound-operator-01	artifact-run	6527c23ff760ddd3daaa47b80c2ca70cf5b49d5b64706250a5d707f646d91efd	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/-=
compound-operator-02	artifact-run	02452e6b9a6b01bb6e5c92f2d903ca65b4757f2ef9235b73f5720fc5ecb62a53	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/*=
compound-operator-03	artifact-run	375081a41a44b1d59884bfb41a43922295598e2bfc8aea8c5fd378c62befde9b	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix//=
compound-operator-04	artifact-run	307c380c6f45ec7fa1d0086567cab66167e8dee21523a18f5ee39e32e0ecff4b	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/%=
compound-operator-05	artifact-run	3fe27a6171f2c10c770bcb50ff6ff66073870a1358b18d795539ff562e8d7135	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/&=
compound-operator-06	artifact-run	5eec22f8dc0eef9f7f95a8a1cf1d9d9971bf7b165d420149efd25a8f46e2ee05	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/|=
compound-operator-07	artifact-run	02d6d2f9b649da36f2f7d294cc060786c55ca18074f2d4e525598bec5d73e05f	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/^=
compound-operator-08	artifact-run	16a249066f725821e9b02ce0566e1b8e53792831c96d8956de63d70fa9af9c94	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/<<=
compound-operator-09	artifact-run	ada64a60f8fc6003927ecb6612f085eb48a6153482746515247e94e1cc49e3ff	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/>>=
compound-operator-10	artifact-run	512cdbe30b97281e0f7d99ee443fe09caade116b97e871d3eae820c8cbbe3ac8	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPCompoundOperatorMatrix/&^=
explicit-conversion	artifact-run	3fe889b40315833116e3bb07d73f1cb52c87ab34f3b729212b4b4b52ed25efcf	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPParsedScalarExpressionsEvaluate
constant-beyond-int64	artifact-run	dd31daded7d10c91109b1b599520079768379eaa910dd9ac2cc3ee0bf6518f8e	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_test.go:TestBashPPParsedScalarConstantsUseGoConstantPrecision
unicode-identifiers	artifact-run	5bea3b61e6f42e0163f747acfc952da053791360b9060adfb6b69258e42e09e9	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_unicode_ident_test.go:TestBashPPUnicodeIdentifiersRuntime
uint64-wrap-string-provenance	artifact-run	b44a500cd091a6f32eff4d6cd4fc17b2f2505bf78517583b46fba5adab872d7c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_update_test.go:TestBashPPUpdateScalarProvenanceAndUint64Wrap
named-tuple-results	artifact-run	d4ee5046113a89469df0f56a112e034e1fe8c25ef4e9d8b4a5350e9b528339d5	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPFuncRuntimeProbe/multiple results
named-result	artifact-run	8d97e720b43507bed89ba981bb53788036dcf073857ea3e4e34267514f802683	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPFuncRuntimeProbe/named result
function-live-capture	artifact-run	0c0904ae8846ed8807da312010be21be02fe3ca34b62b9ab0758d7ca3678f4d4	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPFuncRuntimeProbe/closure observes live cell
defer-status	artifact-run	1cce7d0496c5e2d5e8a1a16fd34c19cafa100beecedda7d14f6acefd6eca1f0c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_func_test.go:TestBashPPFuncRuntimeProbe/defer captures and propagates failure
tuple-function-results	artifact-run	d6d3b8e57a752a59cf5bc7ea04d2a0fc76c5ac482d5ff68fbad8ebdfa81180c2	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story204_residual_test.go:TestBashPPTupleAssignFunctionResultsAtomic
tuple-rollback	artifact-run	0c04450eda05f18acb61a1cdcaa3138af0b22b3a93781174f6d89aadf9d9458f	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story204_residual_test.go:TestBashPPTupleAssignFunctionTypeFailureRollsBack
escaping-closure	artifact-run	909c5ca01fef542cbd0554b041e8bf42820744923e0168ee30891c4bdfd573d2	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPFuncLitRuntime/closure escapes its factory and mutates the captured cell
closure-per-invocation	artifact-run	54cf54cef07db432543e78f31468f4755f460cab1e0082ae15afec870da602a4	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPFuncLitRuntime/capture is per invocation
defer-argument-capture	artifact-run	8e647457610227fe4edc6b8b3b68e69d6b9920785b4a289d080e218156885d33	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPFuncLitRuntime/deferred closure captures its arguments at defer time
closure-parameter	artifact-run	aa727b290d78117558565b9d2242518aea6e29c8b042abbc94e737964e9b89b0	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPFuncLitRuntime/closure passed as a func-typed parameter
variadic-fixed	artifact-run	8dd22a4fdfb1ea4aba2dfd84ad1170039d654aea31b707b5a049682771632f71	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPVariadicRuntime/fixed parameters keep their own values
variadic-unnamed	artifact-run	c58e8679a302ea930f8b7c249c44f2c7d8e3eb663676af5d8495448960c0d609	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPVariadicRuntime/an unnamed variadic group accepts and discards
variadic-spread	artifact-run	5bd6379eb814125c0a440f1fff5bf089191bf0750a2d79cace6d022602d7f20c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPVariadicRuntime/spread forwards a variadic parameter
variadic-spread-empty	artifact-run	78b55d4db40dd7e846e10561e529d89e2f86454a69ea7d87f630803d86be9686	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_funclit_test.go:TestBashPPVariadicRuntime/spread of an empty slice passes nothing
panic-recover	artifact-run	7210a3d1629bba01098f3fb72137d667cb282b570652572b0c2d09d142d181f2	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_panic_test.go:TestBashPPPanicUnwinding/a deferred call recovers the panic and the caller resumes
panic-shell-unwind	artifact-run	19c810c76757457dc87dcd045c5f5280ffb99790cd5ec6212698719230eb92d7	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_panic_test.go:TestBashPPPanicUnwinding/a panic unwinds through a shell function frame
panic-named-result	artifact-run	2c951c195552b87f92bf402c67c4c166588f0b06e45fb69dfe02532eff2bb5c8	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_panic_test.go:TestBashPPPanicNamedResults/a recovering defer supplies the named result
defer-named-result	artifact-run	4c96e20eeb870e20ced84e259c5b3897a5d6d9fdceaab974470a8327e94de6cb	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_panic_test.go:TestBashPPPanicNamedResults/an ordinary defer amends the returned named result
panic-unrecovered	artifact-run	9db33a4f4f23ef88b9afcb6d923ab3adbe92d3af3cd6f78e510e78c32f3b992b	Must emit before\n, unwind panic, omit after/unreachable, and return panic: boom\n status2.	sh/interp/bashpp_panic_test.go:TestBashPPPanicUnwinding/an unrecovered panic abandons every frame and the script
ordinary-embedding	artifact-run	5b5ed8723a2b346eef1374305009ed5fa518ee8b191d762649c893d3d44df4f6	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_embed_test.go:TestBashPPPromotedFieldsReadWriteAndShadowing
embedded-interface-dispatch	artifact-run	5b6bbe40078990dd296d8c6139e903d8141deab7035567ee6aef370c3dbe93d8	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_embed_test.go:TestBashPPEmbeddedInterfacePromotesDynamicMethods
promoted-literal-keys	artifact-run	d41a5053fbf9d71969490100210a8dd52ad5dc2b37e9cec6c6e0b6f9dd5456f3	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_selector_key_test.go:TestBashPPStructPromotedSelectorKeys
constraint-approximation	artifact-run	54ec4054b3b5a41d3e2e6a0679abf4479080db364fd07bbac2d272a1b018d402	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story203_manager_test.go:TestBashPPGenericTypeSetConstraints/approximation accepts named underlying int
constraint-union	artifact-run	4c4e69788f08c61a1d3136f5b9bc86ffd1a92ec4e106a912cd11a06b20eb8b4c	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story203_manager_test.go:TestBashPPGenericTypeSetConstraints/union accepts string
multiple-inference	artifact-run	94db48089cd876face0d04dd7d9809e57fa367e76b9b4c77ad4967cb7f1a0ee0	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story203_manager_test.go:TestBashPPGenericMultipleInferenceAndNamedConstraint
generic-receiver-interface	artifact-run	39fd0c06487258a67580b3b92cde1751ada30bc373cd910a73882f807b8b8a99	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story203_manager_test.go:TestBashPPInstantiatedGenericMethodImplementsInterface
recursive-substitution	artifact-run	f1e204ea66af179a00b13205ed1ff76014d0fad2bd337b86bb4c076aa809da42	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_story203_manager_test.go:TestBashPPGenericNamedTypeRecursiveSubstitution/nested named composite substitution
channel-go-range	artifact-run	58a2ce4e0815f0be300c25d6a4b9e96c5442b44a405f7064f1492ef8999a3d85	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_concurrency_test.go:TestBashPPChannelsAndGo
channel-closed-receive	artifact-run	62395b368506eb53b416ba5ef2896f293129225c3492ff92baa1b5ebaab2a2ed	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_concurrency_test.go:TestBashPPClosedTwoValueReceive
select-ready-default-closed	artifact-run	90c80c1edcf9c9ca4edd2f0d1c5161e981dcc1a7b590c19646d4c4ffdb9242fa	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_concurrency_test.go:TestBashPPSelectReceiveDeclDefaultAndClosed
nested-task-join	artifact-run	a5e8b81fcaef048df8d2f4fb3129161fa148242b5912f18d0c3be06f7032c3af	Expected successful source execution requires a built native artifact and exact runtime observations.	sh/interp/bashpp_concurrency_test.go:TestBashPPNestedTaskRegistration
