# generated by tools/startsites/classify.sh — do not hand-edit
# bash53=GNU bash, version 5.3.15(1)-release (aarch64-apple-darwin25.4.0)
# bashy=GNU bash, version 5.3.0(1)-bashy-dev (ed6b1fb)
# id	phase	feature	class	bash53	bashy	agree	shape
defer-call	P3	defer	R	reject	reject	yes	defer cleanup(x)
defer-bare	P3	defer	E	accept	accept	yes	defer cleanup
go-call	P4	go	R	reject	reject	yes	go worker(a, b)
go-call-one	P4	go	R	reject	reject	yes	go worker(ch)
go-toolchain	P4	escape	E	accept	accept	yes	go build ./...
go-toolchain-test	P4	escape	E	accept	accept	yes	go test ./...
chan-make	P4	chan	R	reject	reject	yes	results := make(chan string, 16)
chan-send	P4	chan	E	accept	accept	yes	ch <- v
chan-recv	P4	chan	E	accept	accept	yes	value <- ch
chan-recv-multi	P4	chan	E	accept	accept	yes	value, ok := <-results
select-brace	P4	select	R	reject	reject	yes	select {\ncase v = <-ch:\n\techo a\ndefault:\n\techo b\n}
embed-heredoc	P6	embed	E	accept	accept	yes	embed python as py
generic-func-decl	G127	generics	R	reject	reject	yes	func f[T any](x T) T { return x }
generic-method-decl	G127	generic-method	R	reject	reject	yes	func (r *Rand) N[Int intType](n Int) Int { return n }
generic-method-call	G127	generic-method	R	reject	reject	yes	r.N[int](5)
generic-call-simple	G127	generics	R	reject	reject	yes	f[int](x)
generic-call-slice	G127	generics	R	reject	reject	yes	f[[]int](x)
generic-call-map	G127	generics	R	reject	reject	yes	f[map[string]int](x)
generic-call-ptr	G127	generics	R	reject	reject	yes	f[*T](x)
generic-inst-simple	G127	generics	E	accept	accept	yes	f := Max[int]
generic-inst-slice	G127	generics	E	accept	accept	yes	f := Max[[]int]
generic-inst-map	G127	generics	E	accept	accept	yes	f := Max[map[string]int]
generic-inst-ptr	G127	generics	E	accept	accept	yes	f := Max[*T]
struct-key-selector	G127	selector-key	E	accept	accept	yes	g := Gopher{Name: "x", Burrow.Depth: 3}
struct-key-selector-bare	G127	selector-key	E	accept	accept	yes	Gopher{Burrow.Depth: 3}
sharp-kwargs	BASHSHARP	kwargs	R	reject	reject	yes	f(name: "x")
sharp-kwargs-multi	BASHSHARP	kwargs	R	reject	reject	yes	f(name: "x", retries: 3)
sharp-default-param	BASHSHARP	defaults	R	reject	reject	yes	func f(a int, b int = 3) {}
sharp-readonly	BASHSHARP	immutability	E	accept	accept	yes	readonly obj
sharp-enum	BASHSHARP	enum	E	accept	accept	yes	type Color enum { Red; Green }
sharp-enum-multiline	BASHSHARP	enum	R	reject	reject	yes	type Color enum {\n\tRed\n\tGreen\n}
sharp-comprehension	BASHSHARP	comprehension	E	accept	accept	yes	[x*2 for x in xs]
sharp-comprehension-filter	BASHSHARP	comprehension	E	accept	accept	yes	[x for x in xs if x > 0]
sharp-ternary	BASHSHARP	ternary	E	accept	accept	yes	a ? b : c
sharp-optional-chain	BASHSHARP	optional-chain	E	accept	accept	yes	x?.y
sharp-nullish	BASHSHARP	nullish	E	accept	accept	yes	x ?? y
sharp-match	BASHSHARP	match	E	accept	accept	yes	match x { case 1: echo a }
sharp-try-catch	BASHSHARP	exceptions	R	reject	reject	yes	try { echo a } catch (e) { echo b }
sharp-decorator-bare	BASHSHARP	decorator	E	accept	accept	yes	@decorator
sharp-decorator-call	BASHSHARP	decorator	R	reject	reject	yes	@decorator(x)
sharp-arrow	BASHSHARP	arrow	E	accept	accept	yes	x -> y
sharp-fat-arrow	BASHSHARP	arrow	E	accept	accept	yes	x => y
shell-assign	SHELL	control	E	accept	accept	yes	x=1
shell-array-assign	SHELL	control	E	accept	accept	yes	a[0]=1
shell-func	SHELL	control	E	accept	accept	yes	f() { echo hi; }
shell-if	SHELL	control	E	accept	accept	yes	if [ -n "$x" ]; then echo hi; fi
shell-for	SHELL	control	E	accept	accept	yes	for i in 1 2 3; do echo $i; done
shell-case	SHELL	control	E	accept	accept	yes	case $x in a) echo a;; esac
shell-pipeline	SHELL	control	E	accept	accept	yes	grep foo bar | sort -u
shell-subshell	SHELL	control	E	accept	accept	yes	( cd /tmp && ls )
shell-heredoc-dash	SHELL	control	E	accept	accept	yes	cat <<-EOF\n\thi\nEOF
shell-cmdsub	SHELL	control	E	accept	accept	yes	x=$(echo hi)
shell-arith	SHELL	control	E	accept	accept	yes	echo $((1 + 2))
generic-inst-bare-simple	G127	generics	E	accept	accept	yes	f[int]
generic-inst-bare-slice	G127	generics	E	accept	reject	NO	f[[]int]
generic-inst-bare-map	G127	generics	E	accept	reject	NO	f[map[string]int]
generic-inst-bare-ptr	G127	generics	E	accept	reject	NO	f[*T]
subscript-empty-inner	SHELL	subscript	E	accept	reject	NO	f[[]]
subscript-nested	SHELL	subscript	E	accept	reject	NO	f[[x]]
subscript-glob-star	SHELL	subscript	E	accept	accept	yes	f[*]
subscript-dash	SHELL	subscript	E	accept	accept	yes	f[-x]
subscript-empty	SHELL	subscript	E	accept	accept	yes	f[]
subscript-arg-position	SHELL	subscript	E	accept	accept	yes	echo f[[]x]
# 103 shapes: 36 class R, 67 class E, 5 engine disagreement(s)
